refOTU designation,A1,A2a,A2b,A2c,A3a,A3b,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
V3_Bacteroides_refOTU_25,5,0,5,4,0,0,10,4,46,39,3,94,89,13,6,60,6,7
V3_Bacteroides_refOTU_26,0,0,0,0,0,0,0,0,33,56,40,92,123,0,0,0,0,0
V3_Bacteroides_refOTU_27,29,5,35,10,0,0,10,11,0,0,0,10,4,32,31,96,8,27
V3_Bacteroides_refOTU_28,0,0,0,0,0,0,0,4,73,81,24,60,58,0,0,0,0,0
V3_Bacteroides_refOTU_29,0,0,0,0,0,0,0,0,4,2,223,12,15,0,0,0,0,0
V3_Bacteroides_refOTU_30,0,0,0,0,0,0,0,0,27,50,0,79,96,0,1,0,0,0
V3_Bacteroides_refOTU_31,0,0,0,0,0,0,0,0,7,27,0,142,55,0,0,0,0,0
V3_Bacteroides_refOTU_32,74,0,0,0,0,0,4,8,0,0,0,0,0,33,66,9,6,3
V3_Bacteroides_refOTU_33,0,0,0,0,0,0,0,0,10,15,0,135,41,0,0,0,0,0
V3_Bacteroides_refOTU_34,43,2,2,0,0,0,14,15,1,1,0,5,5,13,31,33,10,9
V3_Bacteroides_refOTU_35,3,14,13,6,0,63,8,9,0,0,0,0,0,3,12,9,6,30
V3_Bacteroides_refOTU_36,14,0,0,0,0,0,2,19,0,0,0,0,0,16,22,63,10,14
V3_Bacteroides_refOTU_37,0,0,0,0,0,0,0,0,0,3,138,7,12,0,0,0,0,0
V3_Bacteroides_refOTU_38,5,4,11,8,15,43,14,15,0,0,0,0,0,6,6,16,2,11
V3_Bacteroides_refOTU_39,11,9,10,4,0,0,4,8,15,18,16,10,8,3,10,4,6,5
V3_Bacteroides_refOTU_40,5,9,11,14,6,23,4,9,0,0,0,0,0,10,9,16,2,19
V3_Bacteroides_refOTU_41,0,0,0,0,0,0,0,0,3,2,117,2,1,0,0,0,0,0
V3_Bacteroides_refOTU_42,0,0,0,0,0,2,0,0,30,28,0,44,18,0,0,0,0,0
V3_Bacteroides_refOTU_43,0,5,16,18,0,0,10,6,0,0,2,0,3,4,7,9,21,11
V3_Bacteroides_refOTU_44,0,11,10,0,19,27,2,2,0,0,0,0,0,10,4,4,4,9
V3_Bacteroides_refOTU_45,2,5,5,12,4,23,4,8,0,0,0,0,0,9,10,9,6,4
V3_Bacteroides_refOTU_46,5,7,13,10,17,14,0,4,0,0,0,0,0,3,3,4,4,9
V3_Bacteroides_refOTU_47,2,2,11,6,6,2,4,4,0,0,0,0,0,14,6,25,0,6
V3_Bacteroides_refOTU_48,2,4,6,2,25,14,6,4,0,0,0,0,0,7,1,4,2,8
V3_Bacteroides_refOTU_49,0,0,0,0,0,0,0,2,10,13,33,7,8,0,0,2,4,5
V3_Bacteroides_refOTU_50,0,2,10,12,19,20,2,4,0,0,0,0,0,3,3,7,0,2
V3_Bacteroides_refOTU_51,2,5,11,10,8,16,0,4,0,0,0,0,0,7,6,7,0,6
V3_Bacteroides_refOTU_52,2,7,5,10,0,0,10,4,0,0,0,0,0,1,7,5,16,12
V3_Bacteroides_refOTU_53,8,5,6,10,0,0,10,0,0,0,0,0,1,6,6,11,14,1
V3_Bacteroides_refOTU_54,5,0,0,0,0,0,0,0,25,4,0,3,34,0,4,0,2,0
V3_Bacteroides_refOTU_55,0,5,16,6,0,0,0,4,0,0,0,0,1,7,7,18,2,10
V3_Bacteroides_refOTU_56,0,2,10,12,0,14,4,2,0,0,0,0,0,6,1,5,6,14
V3_Bacteroides_refOTU_57,3,7,6,8,0,0,2,4,0,0,0,0,1,13,9,5,0,14
V3_Bacteroides_refOTU_58,13,0,0,0,0,0,0,0,12,8,0,17,12,3,3,4,0,1
V3_Bacteroides_refOTU_59,0,0,0,0,0,0,0,0,9,11,0,31,19,0,0,0,0,0
V3_Bacteroides_refOTU_60,2,0,0,0,0,0,0,8,6,12,3,0,3,0,25,0,2,8
V3_Bacteroides_refOTU_61,0,4,11,8,0,0,6,0,0,0,0,0,0,10,4,14,0,7
V3_Bacteroides_refOTU_62,0,0,0,0,0,0,2,0,21,6,2,19,12,0,0,2,0,0
V3_Bacteroides_refOTU_63,14,0,0,0,0,0,6,6,0,0,0,0,0,3,21,2,10,1
V3_Bacteroides_refOTU_64,0,7,3,4,10,12,0,2,0,0,0,0,0,4,3,4,0,12
V3_Bacteroides_refOTU_65,8,4,8,0,6,23,0,0,0,0,0,0,0,3,3,2,2,3
V3_Bacteroides_refOTU_66,0,0,0,0,0,0,0,0,9,14,0,26,12,0,0,0,0,0
V3_Bacteroides_refOTU_67,2,0,5,2,15,16,2,2,0,0,0,0,0,1,0,9,2,4
V3_Bacteroides_refOTU_68,0,4,5,0,4,4,2,2,0,0,0,0,0,20,3,9,2,3
V3_Bacteroides_refOTU_69,0,0,0,0,0,0,0,0,7,17,13,12,8,0,0,0,0,0
V3_Bacteroides_refOTU_70,0,0,0,0,0,0,0,0,3,12,16,17,9,0,0,0,0,0
V3_Bacteroides_refOTU_71,8,0,0,0,0,0,0,6,0,0,0,0,1,10,21,2,8,0
V3_Bacteroides_refOTU_72,2,0,8,0,4,4,0,2,1,4,14,0,3,3,1,0,2,6
V3_Bacteroides_refOTU_73,0,0,0,0,0,0,0,0,12,14,0,17,11,0,0,0,0,0
V3_Bacteroides_refOTU_74,0,0,0,0,0,0,0,0,4,3,30,5,11,0,0,0,0,0
V3_Bacteroides_refOTU_75,0,0,0,0,0,0,0,0,9,10,16,5,12,0,0,0,0,0
V3_Bacteroides_refOTU_76,0,2,3,2,6,23,0,4,0,0,0,0,0,0,0,4,2,6
V3_Bacteroides_refOTU_77,2,7,5,6,8,6,0,0,0,0,0,0,0,3,1,5,0,6
V3_Bacteroides_refOTU_78,0,0,0,4,0,0,10,0,0,0,0,0,0,4,4,7,10,8
V3_Bacteroides_refOTU_79,2,2,5,0,0,8,2,2,0,0,0,0,0,1,3,9,4,10
V3_Bacteroides_refOTU_80,2,2,6,0,0,16,2,9,0,0,0,0,0,0,3,5,0,1
V3_Bacteroides_refOTU_81,0,0,0,2,0,0,2,0,4,6,3,10,12,1,0,4,0,1
V3_Bacteroides_refOTU_82,0,0,11,8,2,0,0,0,0,0,0,0,0,6,7,5,0,5
V3_Bacteroides_refOTU_83,2,5,5,2,0,0,2,0,0,0,0,2,0,9,0,13,0,6
V3_Bacteroides_refOTU_84,2,2,10,0,0,12,2,2,0,0,0,0,0,3,3,0,4,5
V3_Bacteroides_refOTU_85,0,0,0,4,6,10,2,8,0,0,0,0,0,3,4,2,0,4
V3_Bacteroides_refOTU_86,0,0,0,0,0,0,2,2,0,0,0,0,0,3,13,22,0,1
V3_Bacteroides_refOTU_87,8,2,2,0,2,6,2,2,0,0,0,0,0,3,4,2,4,6
V3_Bacteroides_refOTU_88,0,2,5,2,0,0,2,2,0,0,0,0,0,4,4,5,10,5
V3_Bacteroides_refOTU_89,0,7,3,4,0,10,4,2,0,0,0,0,0,1,1,4,0,5
V3_Bacteroides_refOTU_90,0,0,2,2,0,0,6,0,0,0,0,0,0,0,12,0,8,11
V3_Bacteroides_refOTU_91,0,5,13,2,0,0,0,0,0,0,0,0,0,0,4,11,0,5
V3_Bacteroides_refOTU_92,2,2,3,8,4,12,0,0,0,0,0,0,0,0,1,2,0,6
V3_Bacteroides_refOTU_93,0,4,3,2,10,4,0,2,0,0,0,0,0,0,4,4,0,7
V3_Bacteroides_refOTU_94,3,0,0,0,0,0,2,0,0,0,0,0,0,10,3,20,0,2
V3_Bacteroides_refOTU_95,0,2,0,0,0,0,0,2,1,3,9,3,5,1,3,4,2,3
V3_Bacteroides_refOTU_96,2,2,3,0,4,10,0,4,0,0,0,0,0,0,3,4,2,6
V3_Bacteroides_refOTU_97,0,2,3,0,6,16,2,2,1,0,0,0,0,3,1,0,0,2
V3_Bacteroides_refOTU_98,0,4,16,2,0,0,2,2,0,0,0,0,0,7,1,0,0,5
V3_Bacteroides_refOTU_99,2,0,0,0,0,0,0,0,0,0,27,0,4,1,0,2,0,2
V3_Bacteroides_refOTU_100,0,2,3,6,0,0,2,4,0,0,3,5,1,3,1,2,2,3
V3_Bacteroides_refOTU_101,2,0,14,0,2,6,0,0,0,0,0,0,0,3,1,4,0,5
V3_Bacteroides_refOTU_102,0,0,0,0,0,0,0,0,4,26,0,0,7,0,0,0,0,0
V3_Bacteroides_refOTU_103,0,0,5,0,8,6,2,2,0,0,0,0,0,1,1,2,0,9
V3_Bacteroides_refOTU_104,0,0,0,0,0,0,0,0,1,5,9,14,7,0,0,0,0,0
V3_Bacteroides_refOTU_105,0,0,5,0,2,10,0,4,0,0,0,0,0,6,3,2,0,5
V3_Bacteroides_refOTU_106,0,2,3,2,8,6,2,4,0,0,0,0,0,6,0,0,0,3
V3_Bacteroides_refOTU_107,0,9,2,8,0,2,4,2,0,0,0,0,0,0,0,4,2,4
V3_Bacteroides_refOTU_108,0,0,0,4,0,6,0,0,0,0,0,0,0,7,1,2,8,7
V3_Bacteroides_refOTU_109,0,2,2,0,0,0,12,0,0,1,5,0,1,0,0,4,8,1
V3_Bacteroides_refOTU_110,0,2,0,0,0,20,0,4,0,0,0,0,0,0,0,4,0,4
V3_Bacteroides_refOTU_111,0,7,2,0,0,0,16,0,0,0,0,0,0,0,0,0,4,4
V3_Bacteroides_refOTU_112,0,0,0,0,0,0,2,0,6,12,3,7,3,0,0,0,0,0
V3_Bacteroides_refOTU_113,0,4,5,0,8,6,0,4,0,0,0,0,0,1,0,2,0,2
V3_Bacteroides_refOTU_114,2,5,3,0,4,8,0,4,0,0,0,0,0,3,1,0,0,1
V3_Bacteroides_refOTU_115,0,0,0,0,0,0,0,0,1,4,8,7,11,0,0,0,0,0
V3_Bacteroides_refOTU_116,0,4,2,4,0,4,2,0,0,0,0,0,0,1,1,5,4,3
V3_Bacteroides_refOTU_117,2,0,0,0,0,0,0,0,3,2,11,2,8,0,0,2,0,1
V3_Bacteroides_refOTU_118,0,0,0,0,0,0,0,0,4,5,13,5,3,0,0,0,0,0
V3_Bacteroides_refOTU_119,0,0,0,0,0,0,0,0,3,6,0,15,5,0,0,0,0,0
V3_Bacteroides_refOTU_120,0,0,0,0,0,0,0,0,4,8,6,3,8,0,0,0,0,0
V3_Bacteroides_refOTU_121,2,2,0,0,0,0,8,0,0,0,0,0,0,4,0,7,2,4
V3_Bacteroides_refOTU_122,2,0,2,0,0,0,0,0,0,2,2,5,8,3,0,0,4,1
V3_Bacteroides_refOTU_123,0,7,2,2,0,0,2,0,0,0,0,0,0,0,3,5,4,3
V3_Bacteroides_refOTU_124,0,0,3,2,2,4,0,2,0,0,0,0,0,1,3,7,0,2
V3_Bacteroides_refOTU_125,0,2,2,0,0,0,6,2,0,0,0,2,0,3,0,2,2,7
V3_Bacteroides_refOTU_126,2,2,0,2,0,0,0,0,3,4,2,2,3,1,1,0,2,2
V3_Bacteroides_refOTU_127,0,4,10,4,0,0,0,0,0,0,0,0,0,1,1,4,0,2
V3_Bacteroides_refOTU_128,0,0,0,0,0,0,0,0,0,8,0,9,9,0,0,0,0,0
V3_Bacteroides_refOTU_129,3,4,0,4,4,0,0,2,0,0,0,0,0,1,1,2,0,4
V3_Bacteroides_refOTU_130,6,0,5,8,0,0,0,4,0,0,0,0,0,0,1,0,0,1
V3_Bacteroides_refOTU_131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0
V3_Bacteroides_refOTU_132,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,2,0
V3_Bacteroides_refOTU_133,0,4,8,0,0,0,0,2,0,0,0,3,0,0,3,4,0,1
